Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,"***높은순서: 0, 낮은순서: 1, 낮은순서 음수제외: 2",Unnamed: 5,Unnamed: 6,Unnamed: 7,1,0,0.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,0.2,0.3,Unnamed: 22,0.4,0.5,Unnamed: 25,0.6,0.7,0.8,0.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,2.13,2.14,2.15,2.16,2.17,2.18,2.19,2.20,2.21,0.10,0.11,2.22,2.23,2.24,0.12,0.13,0.14,0.15,0.16,Unnamed: 62,1.10,1.11,2.25,0.17,0.18,1.12,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,1.13,1.14,0.28,0.29,0.30,0.31,0.32,0.33,0.34,1.15,1.16,1.17,1.18,1.19,0.35,1.20,0.36,0.37,0.38,0.39,0.40,1.21,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,1.22,1.23,2.26,1.24,1.25,1.26,1.27,0.56,Unnamed: 123,Unnamed: 124,Unnamed: 125,0.57,0.58,0.59,0.60,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,1.28,1.29,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,0.100,0.101,0.102,0.103,0.104,0.105,0.106,0.107,0.108,0.109,0.110,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.120,0.121,0.122,0.123,0.124,0.125,0.126,0.127,0.128,0.129,0.130,0.131,0.132,0.133,0.134,0.135,0.136,0.137,0.138,0.139,0.140,0.141,0.142,0.143,0.144,0.145,0.146,0.147,0.148,0.149,0.150,0.151,0.152,0.153,0.154,0.155,0.156,0.157,0.158,0.159,0.160,0.161,0.162,0.163,0.164,0.165,0.166,0.167,0.168,0.169,0.170,0.171,0.172,0.173,0.174,0.175,0.176,0.177,0.178,0.179,0.180,0.181,0.182,0.183,0.184,0.185,0.186,0.187,0.188,0.189,0.190,0.191,0.192,0.193,0.194,0.195,0.196,0.197,0.198,0.199
,"퀀트킹
 (www.quantking.co.kr)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출액 성장률 ,,,,,,,,,(단위: %),,,,,,,,,영업이익 성장률,,,,,,,,,(단위: %),,,,,,,,,순이익(지배) 성장률,,,,,,,,,(단위: %),,,,,,,,연간  매출 / 영익 / 순익(지배),,,,,,,,,,(단위: 억),,,,,분기별 매출액,,,,,(단위: 억),,,,,분기별 영업이익,,,,,(단위: 억),,,,,분기별 순이익(지배),,,,,(단위: 억),,발표치,,,컨센서스,(단위: 억)
,"코드
번호",회사명,"업종
(대)","업종
(소)",코스피코스닥,"주가
(원)","시가총액
(억)","상장주식수
(만주)","자사주
(만주)","자사주
비중
(%)","주식수
증가율
(%)","1일
등락률
(%)","5일
등락률
(%)","1개월
등락률
(%)","3개월
등락율
(%)","6개월
등락율
(%)","9개월
등락율
(%)","1년
등락율
(%)","3년
등락율
(%)","과거
GP/A
(%)","과거
GPM
(%)","5년평균
OPM","발표
OPM
(%)","올해
OPM
(%)","5년평균
ROE","과거
ROE
(%)","1년후
ROE
(%)","과거
ROA
(%)","1년후
ROA
(%)","과거
PCR","과거
PFCR","과거
PSR","발표
PSR",1년후PEG,"PER 
곱하기PBR","고점
PBR","저점
PBR","5년평균
PBR","발표
PBR","1년후
PBR","5년평균
PER","자사주반영
PER","과거
PER","발표
PER","발표
분기
PER","올해
PER","1년후
PER","과거
EV/EBITDA
(%)","과거
POR","발표
POR","청산가치비율
(NCAV전략)
(%)","당좌
비율
(%)","유동
비율
(%)","단순
부채비율
(%)","보수적
부채비율
(%)","차입금
비율
(%)","배당
성향
(%)","시가
배당률
(%)","DPS 
성장율
(%)","시가
배당율 고점","시가
배당율
저점","국채시가
배당율","주가
변동성","베타
(52주)","부채
(억)","자본
(억)","유동자산
(억)","재고자산
(억)","투자자산
(억)","지분투자
(억)","총자산
(억)","매출액
(억)","영업이익
(억)","순이익(지배)
(억)","EBITDA
(억)","매출총이익
(억)","영업활동현금흐름
(억)","투자활동현금흐름
(억)","재무활동현금흐름
(억)","설비투자
(억)","DPS
(원)","거래대금
(당일,억)","거래대금
(5일평균,억)","거래대금
(20일평균,억)","거래대금
증가율(5일대비)","거래대금
증가율(20일대비)","1개월전
주가","3개월전
주가","6개월전
주가","9개월전
주가","1년전
주가","52주
신고가","52주
신저가",주가>5이평,주가>20이평,주가>60이평,주가>120이평,"신고가율
(%)","신저가율
(%)","당일
기관(%)","당일
외인(%)","당일
수급(%)","주간
기관(%)","주간
외인(%)","주간
수급(%)","1개월
기관(%)","1개월
외인(%)","1개월
수급(%)","3개월
기관(%)","3개월
외인(%)","3개월
수급(%)","6개월
기관(%)","6개월
외인(%)","6개월
수급(%)","고점대비
PBR괴리율","저점대비
PBR괴리율","이익의
변동성","예상가
괴리율
(%)","목표가 
괴리율
(%)","예상가
매력등수","목표가
매력등수","본사
국내
=1","지주사
=1","금융
=1","스팩
=1","예상
주가
(원)","목표
주가
(원)","20년 1Q
호실적
100기업","20년2Q
호실적예상
100기업","2Q
발표
=1","마지막
리포트일","실적
발표일","20/2Q
매출액
컨센대비","20/2Q
영업이익
컨센대비","20/2Q
순이익
컨센대비","20/1Q
매출액
컨센대비","20/1Q
영업이익
컨센대비","20/1Q
순이익
컨센대비","1주일
어닝스","1달
어닝스","3개월 
어닝스","6개월 
어닝스","9개월 
어닝스","12개월 
어닝스","어닝스
점수","ROE성장율
(최근분기)","자산증가율
(최근분기)","자본증가율
(최근분기)","자본증가율
(1년후)","매출채권
회수기간","재고자산
회수기간","단순 FCFF
(잉여현금흐름)","F스코어
지배주주순익>0
여부","F스코어
영업활동현금흐름>0
여부","F스코어
ROA증가
여부","F스코어
영현>순익
여부","F스코어
부채비율감소
여부","F스코어
유동비율증가
여부","F스코어
신주발행X
여부","F스코어
매출총이익율증가
여부","F스코어
총자산회전율증가
여부","F스코어
점수 (9점만점)","16년->19년
3년간 YOY","17년
YOY","18년
YOY","19년
YOY","20년(E) 
YOY","21년(E) 
YOY",19년2Q YOY,19년3Q YOY,19년4Q YOY,20년1Q YOY,20년2Q(E) YOY,20년3Q(E) YOY,19년2Q QOQ,19년3Q QOQ,19년4Q QOQ,20년1Q QOQ,20년2Q(E) QOQ,20년3Q(E) QOQ,"16년->19년
3년간 YOY","17년
YOY","18년
YOY","19년
YOY","20년(E) 
YOY","21년(E) 
YOY",19년2Q YOY,19년3Q YOY,19년4Q YOY,20년1Q YOY,20년2Q(E) YOY,20년3Q(E) YOY,19년2Q QOQ,19년3Q QOQ,19년4Q QOQ,20년1Q QOQ,20년2Q(E) QOQ,20년3Q(E) QOQ,"16년->19년
3년간 YOY","17년
YOY","18년
YOY","19년
YOY","20년(E) 
YOY","21년(E) 
YOY",19년2Q YOY,19년3Q YOY,19년4Q YOY,20년1Q YOY,20년2Q(E) YOY,20년3Q(E) YOY,19년2Q QOQ,19년3Q QOQ,19년4Q QOQ,20년1Q QOQ,20년2Q(E) QOQ,20년3Q(E) QOQ,"16년
매출액","16년
영업이익","16년
순이익","17년
매출액","17년
영업이익","17년
순이익","18년
매출액","18년
영업이익","18년
순이익","19년
매출액","19년
영업이익","19년
순이익","20년(E)
매출액","20년(E)
영업이익","20년(E)
순이익","21년(E)
매출액","21년(E)
영업이익","21년(E)
순이익",18년 2Q,18년 3Q,18년 4Q,19년 1Q,19년 2Q,19년 3Q,19년 4Q,20년 1Q,20년 2Q(E),20년 3Q(E),18년 2Q,18년 3Q,18년 4Q,19년 1Q,19년 2Q,19년 3Q,19년 4Q,20년 1Q,20년 2Q(E),20년 3Q(E),18년 2Q,18년 3Q,18년 4Q,19년 1Q,19년 2Q,19년 3Q,19년 4Q,20년 1Q,20년 2Q(E),20년 3Q(E),"20년2Q 
매출액","20년2Q 
영업이익","20년2Q 
순이익","20년2Q 
매출액","20년2Q 
영업이익","20년2Q 
순이익"
삼성전자,A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,53300,3181894,596978,0,0,0,2.7,0.8,5.8,11.6,-3.4,10.1,13.4,12.1,24,36,17.2,12,13.8,14,8.2,10.070828123336542,6.1,7.6,6.12,14.02,1.36,1.36,0.31,18.39,1.91,0.96,1.27,1.23,1.1070222058935066,9,14.95,14.95,14.95,16.27,13.07,10.99,3.85,11.37,11.37,30.1,244,288.34197274412713,34,35,6,44.7,2.7,179.12801484230056,3.66,0.58,3.375,0.01962,1.01023,910698,2584818,1867397,284549,281274,75882,3495516,2333406,279826,212871,578903,840407,519685,-432329,-83606,292710,1416,11395.6,10138.26683942,12745.20271834,12.401855075378249,-10.589103587955949,50400,47750,55200,48400,47000,62400,42500,1,1,1,1,85,25,0.02,0.04,0.06,-0.04,0.08,0.04,0.02,0.11,0.13,-0.21,-0.05,-0.26,-0.59,-2.1,-2.69,64,128,0.42515312566785185,128,81,537,249,1,0,0,0,41667,65761,,,,20200625,20200407,,,,1.1,7.7,3.8,1.3,0.1,-7.9,-3.1,5.9,36,40,-46.1,3.6,5.3,11.2,58,72,226975,1,1,0,1,1,1,1,0,0,6,14.1,18.7,1.8,-5.5,-0.5,11.8,-4,-5.3,1,5.6,-9.4,-3.1,7.1,10.5,-3.4,-7.6,-8.1,18.2,-5,83.5,9.8,-52.8,13.5,40.1,-55.6,-55.7,-33.7,3.4,-7.2,23.7,5.8,17.9,-7.9,-10,-5,57.2,-4.1,84.4,6.2,-51,13.2,38.7,-53.9,-52.9,-37.2,-4.3,-5.2,21.1,-0.8,20.5,-14.4,-6.5,-1.8,54,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2291491,315303,243479,2562462,441762,337774,584827,654600,592651,523855,561271,620035,598848,553252,508441,600764,148690,175749,108006,62333,65971,77779,71603,64473,61234,96240,109815,129674,83301,51075,50645,61050,52280,48896,48023,73951,,,,508441,61234,48023
SK하이닉스,A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,84600,615890,72800,4400,6,0,0.4,-0.9,0.8,1.6,-10.7,3.9,21.7,25.5,11.4,28,32.2,7.8,18.9,21.3,3.2,11.605257756143335,2.3,8.6,9.96,-10.09,2.25,2.25,0.03,50.57,2.4,0.94,1.34,1.28,1.128764441968213,6.2,37.14,39.51,39.51,23.75,13.26,9.73,6.42,28.69,28.69,-5,119,181.45523344973824,39,39,28,34,1.2,113.8364779874214,2.24,0,1.4999999999999998,0.02569,1.17999,188951,482310,157998,54257,82770,8554,671261,274170,21465,15587,109729,76773,61840,-96880,45134,122857,1000,2451.99,2639.21245113,3625.42738996,-7.093875714698121,-32.36687054358429,83900,83300,94700,81400,69500,105000,67400,0,0,1,0,81,26,-0.03,0.01,-0.02,-0.23,0.2,-0.02,0.08,0.25,0.33,0.04,-0.77,-0.73,0.79,-2.98,-2.19,53,136,1.0235503074007155,340,75,952,164,1,0,0,0,24880,112834,,1,,20200625,20200423,,,,3.5,50.3,44.2,1,26.2,-2.4,12.6,40.1,306.2,80,-88.9,3.1,2.3,13.1,62,101,-61017,1,1,0,1,0,1,1,0,0,5,56.9,75.1,34.3,-33.3,19.4,19.8,-37.8,-40.1,-30.3,6.3,28.9,23,-4.7,6,1.3,3.9,15.5,1.1,-17.2,318.8,51.9,-87,124.8,80.5,-88.6,-92.7,-94.7,-41.4,168.9,281.9,-53.3,-25.9,-50.1,239.1,114.3,5.3,-31.8,260.3,46,-87,130.6,74.6,-87.6,-89.5,-103.5,-41.2,143.7,189,-51.4,-7.9,-124,648.4,101.3,9.2,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27127,20133,322372,60987,46433,386145,110103,81064,103705,114168,99381,67727,64522,68388,69271,71989,83174,84105,55739,64724,44301,13665,6376,4726,2360,8003,17148,18049,43299,46936,33963,11028,5355,4932,-1182,6482,13049,14254,,,,83174,17148,13049
삼성바이오로직스,A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,810000,535937,6617,0,0,0,-0.6,1.1,32.6,68,89,160,153.1,177.4,4.7,35.7,3.1,22.7,25.1,0,6.3,6.666950035066839,4.6,5,528.63,-4701.2,68.41,68.41,12.65,2365.58,12.06,2.45,5.8,12.2,11.390070771257943,1824.8,193.9,193.9,193.9,365.08,207.81,170.84,171.08,301.43,301.43,-0.2,137,211.88471001237988,35,35,14,0,0,0,0,0,0,0.02989,0.91153,15534,43916,14285,5059,28141,26326,59450,7834,1778,2764,3125,2795,1014,1622,-2700,1128,,1401.52,1764.989262,2528.8133375,-20.593284606623293,-44.577957604986736,611000,482000,428500,311500,320000,826000,249500,1,1,1,1,98,225,-0.02,-0.02,-0.04,0.04,-0.08,-0.04,0.06,0.03,0.09,0.33,0.41,0.74,0.52,0.79,1.31,101,498,2.042491269044912,2569,0,1227,351,1,0,0,0,31534,0,1,1,,20200424,20200420,,,,2.8,52.3,-31,0.7,3.2,31.8,53.5,113,13.5,100,12.5,1,6.7,7.1,63,283,-114,1,1,1,0,1,0,1,1,1,7,138.2,57.7,15.3,30.9,33.2,23,-37.7,82.8,75.7,65.2,185.7,34,-37.7,136.6,69.5,-33.9,7.7,11,401.6,317.1,-15.6,64.6,155.4,47.6,-165,124.8,830.4,367.5,490.3,144.5,34.2,253.2,353.4,-41.5,-4,-4,214.8,45.1,331,-9.5,27.1,44.4,31.3,263.3,-34.1,195.3,499.3,65.8,65.2,429.1,373.9,-82.4,45.8,36.6,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,9342,2342,2579,11489,3457,3723,1254,1011,1783,1254,781,1848,3133,2072,2231,2476,237,105,115,-234,-154,236,1070,626,601,577,-195,-270,3173,-385,-134,441,2090,367,535,731,,,,2231,601,535
NAVER,A035420,NAVER,IT서비스,인터넷서비스,코스피,269000,441869,16426,1890,11.5,-0.3,-0.2,7.8,11.9,58.2,47.4,72.4,136,60.3,52.6,100,21.6,10.6,13.8,17,9.6,13.816643305819447,4.9,7.6,32.22,48.56,6.48,6.48,0.62,460.51,16.22,3.42,6.35,6.65,5.734685666822406,37.5,61.28,69.25,69.25,59.78,41.1,41.51,34.11,60.92,60.92,0.5,158,159.46851647823436,85,95,32,9.4,0.1,101.89513581806699,0.31,0,0.125,0.02604,0.7659,63108,66406,65336,726,51900,18413,129514,68146,7253,6381,12233,68146,13714,-13953,8497,4615,376,2515.81,3851.02738841,3067.492212,-34.67171883608131,-17.984795848603124,240500,170000,182500,156000,114000,279000,114000,0,1,1,1,96,136,-0.02,-0.05,-0.07,-0.11,-0.38,-0.49,0.32,-0.77,-0.45,0.23,-1.7,-1.47,0.69,-2.4,-1.71,41,194,0.44007352710780157,591,87,1092,299,1,0,0,0,45547,308103,,1,,20200625,20200423,,,,-1.2,16.5,31.7,2,13.8,4.5,25.7,58,66.8,120,-17.2,27.9,25.7,16,67,1000,9099,1,1,0,1,0,0,1,0,0,4,63.9,16.3,19.4,18,10.5,13.3,19.6,19.1,17.9,14.6,10.8,8.1,7.9,2.1,7.4,-3.1,4.3,-0.3,-35.6,7,-20.1,-24.7,41.7,40.8,-48.8,-8.8,-18.7,7.4,80.3,31.5,-37.8,57.5,-14.2,27.7,4.4,14.9,-22.2,3.1,-16.1,-10.1,84.4,-2,-70,26.7,106.6,42.5,125.8,48.6,-38.9,58.3,98.3,-25.7,-3.2,4.2,40226,11020,7493,46785,11792,7729,55869,9425,6488,65934,7101,5831,72869,10060,10750,82559,14168,10536,13636,13977,15165,15109,16303,16648,17874,17321,18058,17999,2506,2217,2133,2062,1283,2021,1734,2215,2313,2657,2642,990,1204,1297,792,1254,2487,1848,1788,1863,,,,18058,2313,1788
셀트리온,A068270,셀트리온,제약 및 바이오,바이오,코스피,312500,421686,13494,121,0.9,0.4,-1.1,7.2,48.1,36.5,73.6,97.1,59.2,195,17,53.3,40.4,32.9,38.9,10.8,11.7,19.04668607254814,8.4,14.5,106.49,142.51,32.95,32.95,0.61,1816.23,15.48,3.38,8.66,14.58,11.802675772503358,81.6,123.45,124.57,124.57,100.5,78.51,61.97,71.62,100.19,100.19,2,230,273.09907131164044,37,39,17,2.1,0,-26.04711922314486,0.72,0.01,0,0.03316,0.89923,11194,28923,19778,3089,1441,391,40117,12796,4209,3385,5866,6824,3959,-1709,-349,1000,47.62,2856.41,5954.86828903,5810.93281201,-52.03235636190224,-50.844208797314096,211000,229000,180000,158554,196282,319000,135153,0,1,1,1,98,131,-0.06,0,-0.06,-0.21,0.14,-0.07,-0.35,0.95,0.6,-0.24,0.8,0.56,-0.26,1.57,1.31,94,431,0.2800221185333144,1062,88,1175,306,1,0,0,0,29431,354528,,1,,20200617,20200508,,,,5.3,-11.6,5.9,0.8,19.2,28.3,28.4,45.3,101,100,21.9,18.2,14.1,23.5,247,174,2959,1,1,1,1,0,1,0,0,1,6,68.3,41.5,3.5,14.9,47.5,45.8,-10.8,25.1,57.7,68.2,69.4,48,6,23,32.4,-2.6,6.8,7.5,51.4,103.4,-33.3,11.6,71.3,53.6,-21.2,40.1,159.5,55.3,88.2,72.6,7.8,23.6,10.8,5.3,30.6,13.3,67.2,114.9,-31.6,13.7,80.5,54.8,-4.1,9.3,115.9,64.2,84.2,149.3,20.8,-20.5,54.7,10.4,35.6,7.7,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,16644,6476,5371,24267,9946,8312,2634,2311,2426,2217,2350,2891,3827,3728,3980,4278,1058,736,440,774,834,1031,1142,1202,1570,1779,805,562,440,639,772,614,950,1049,1422,1531,,,,3980,1570,1422
LG화학,A051910,LG화학,화학,종합 화학,코스피,501000,353668,7059,165,2.3,0,0.4,-2.1,29,64.3,59.6,66.2,41.3,72.2,13.2,16.6,8.3,2.9,4.9,8.2,0.8,5.956521979571635,0.4,2.9,14.86,-8.44,1.21,1.21,0.05,525.45,3.8,0.99,1.46,2.08,1.9558362412692796,17.9,246.81,252.62,252.62,419.04,44.79,32.84,15.58,41.55,41.55,-16.1,88,141.80248226838967,113,116,66,49,0.4,-56.96202531645569,2.49,0.58,0.5,0.03104,1.3761,197050,170056,139944,53352,14251,2740,367106,291190,8511,1400,28323,48267,23796,-59260,31467,65709,2000,2350.17,2473.84149604,3282.97622319,-4.9991681454922245,-28.413432196094657,388500,305000,314000,301500,354500,516000,230000,0,1,1,1,97,118,-0.06,0.03,-0.03,-0.17,-0.25,-0.42,0.47,0.36,0.83,1.27,-0.37,0.9,1.43,-0.51,0.9199999999999999,55,210,1.1183477284000354,2215,88,1218,306,1,0,0,0,22618,571770,,1,,20200626,20200428,,,,-8.6,68.3,-57.7,4.6,16.9,23.4,-2.5,-14.6,669.4,80,-88.1,18.6,0.4,6.3,56,76,-41913,1,1,0,1,0,0,1,0,0,4,38.6,24.4,9.7,1.6,9,18.2,1.8,1.6,1.9,7.5,2.9,9.8,8.4,2.4,1.8,-4.9,3.8,9.2,-55,47,-23.3,-60.1,71.1,48.4,-62,-36.9,-111.5,-15.8,38.3,23.3,-4.8,42.2,-108.7,812.3,56.4,26.8,-75.5,51.8,-24.3,-78.7,152,74.6,-85.7,-62.6,-164.8,-89.2,209.8,124.9,-65,88.8,-160.5,127.1,900,37.1,206593,19919,12811,256980,29285,19453,281830,22461,14726,286250,8956,3134,312081,15322,7897,368771,22737,13790,70519,72349,73427,66217,71774,73473,74786,71157,73878,80644,7033,6024,2896,2810,2675,3803,-332,2365,3699,4690,4777,3434,1201,1945,681,1286,-778,211,2110,2892,,,,73878,3699,2110
삼성SDI,A006400,삼성SDI,IT 장비 및 소재,2차전지,코스피,370000,254429,6876,333,4.8,0,0,-3.9,3.1,53.8,59.5,66.3,56.4,115.7,11,21,-1.8,3.9,5.6,3.2,2.5,4.865306507239431,1.5,3.1,20.43,-46.75,2.5,2.5,0.38,179.97,2.09,0.61,1.04,2.1,1.9988294353793337,32,81.58,85.7,85.7,-662.58,58.34,41.08,21.27,64.02,64.02,-8,92,141.18810496059035,60,61,31,18.8,0.3,-17.475728155339805,1.12,0.42,0.37499999999999994,0.03174,1.34074,74226,121096,53878,18635,80585,66600,195322,101908,3974,2969,13100,21425,12452,-15166,1854,17894,1000,1607.86,1840.469319,2790.80438559,-12.638587158105196,-42.38721967394055,359000,240500,232000,222500,236500,388000,183000,0,0,1,1,95,102,-0.02,0.02,0,-0.19,-0.15,-0.34,-0.69,0.49,-0.19999999999999996,-1.22,-0.01,-1.23,-1.5,-1.12,-2.62,100,344,0.9630403298379752,716,84,1119,278,1,0,0,0,51671,439147,,,,20200624,20200429,,,,6.7,58.8,32.4,-12.7,-6.1,-28,-31.5,-36.9,108.6,20,-51.9,1.4,0.8,5.1,59,84,-5442,1,1,0,1,0,0,1,0,1,5,94.2,22,44.3,10.3,9.1,17.2,7,1.8,13.8,4.1,3.3,13.5,4.4,6.8,9.9,-15,3.6,17.3,149.9,112.6,511.6,-35.4,34.4,68.5,2.9,-31.3,-91.9,-54.5,-62,31.9,32.4,5.5,-87.9,168.7,10.6,266.8,62.5,199.5,6.7,-49.2,22.3,86.1,39.3,-3,-119.9,-119.1,-65.9,-2.4,196,40.2,-124.2,81,628.1,301,52008,-9263,2194,63466,1169,6572,91583,7150,7012,100974,4622,3565,110211,6214,4361,129131,10469,8117,22480,25228,24786,23041,24045,25679,28209,23975,24848,29154,1528,2415,2487,1188,1573,1660,201,540,597,2190,1067,2149,2543,502,1486,2084,-505,-96,507,2033,,,,24848,597,507
