,1,"코드
번호",회사명,"업종
(대)","업종
(소)",코스피코스닥,"주가
(원)","시가총액
(억)","상장주식수
(만주)","자사주
(만주)","자사주
비중
(%)","주식수
증가율
(%)","1일
등락률
(%)","5일
등락률
(%)","1개월
등락률
(%)","3개월
등락율
(%)","6개월
등락율
(%)","9개월
등락율
(%)","1년
등락율
(%)","3년
등락율
(%)","과거
GP/A
(%)","과거
GPM
(%)","5년평균
OPM","발표
OPM
(%)","올해
OPM
(%)","5년평균
ROE","과거
ROE
(%)","1년후
ROE
(%)","과거
ROA
(%)","1년후
ROA
(%)","과거
PCR","과거
PFCR","과거
PSR","발표
PSR",1년후PEG,"PER 
곱하기PBR","고점
PBR","저점
PBR","5년평균
PBR","발표
PBR","1년후
PBR","5년평균
PER","자사주반영
PER","과거
PER","발표
PER","발표
분기
PER","올해
PER","1년후
PER","과거
EV/EBITDA
(%)","과거
POR","발표
POR","청산가치비율
(NCAV전략)
(%)","당좌
비율
(%)","유동
비율
(%)","단순
부채비율
(%)","보수적
부채비율
(%)","차입금
비율
(%)","배당
성향
(%)","시가
배당률
(%)","DPS 
성장율
(%)","시가
배당율 고점","시가
배당율
저점","국채시가
배당율","주가
변동성","베타
(52주)","부채
(억)","자본
(억)","유동자산
(억)","재고자산
(억)","투자자산
(억)","지분투자
(억)","총자산
(억)","매출액
(억)","영업이익
(억)","순이익(지배)
(억)","EBITDA
(억)","매출총이익
(억)","영업활동현금흐름
(억)","투자활동현금흐름
(억)","재무활동현금흐름
(억)","설비투자
(억)","DPS
(원)","거래대금
(당일,억)","거래대금
(5일평균,억)","거래대금
(20일평균,억)","거래대금
증가율(5일대비)","거래대금
증가율(20일대비)","1개월전
주가","3개월전
주가","6개월전
주가","9개월전
주가","1년전
주가","52주
신고가","52주
신저가",주가>5이평,주가>20이평,주가>60이평,주가>120이평,"신고가율
(%)","신저가율
(%)","당일
기관(%)","당일
외인(%)","당일
수급(%)","주간
기관(%)","주간
외인(%)","주간
수급(%)","1개월
기관(%)","1개월
외인(%)","1개월
수급(%)","3개월
기관(%)","3개월
외인(%)","3개월
수급(%)","6개월
기관(%)","6개월
외인(%)","6개월
수급(%)","고점대비
PBR괴리율","저점대비
PBR괴리율","이익의
변동성","예상가
괴리율
(%)","목표가 
괴리율
(%)","예상가
매력등수","목표가
매력등수","본사
국내
=1","지주사
=1","금융
=1","스팩
=1","예상
주가
(원)","목표
주가
(원)","20년 1Q
호실적
100기업","20년2Q
호실적예상
100기업","2Q
발표
=1","마지막
리포트일","실적
발표일","20/2Q
매출액
컨센대비","20/2Q
영업이익
컨센대비","20/2Q
순이익
컨센대비","20/1Q
매출액
컨센대비","20/1Q
영업이익
컨센대비","20/1Q
순이익
컨센대비","1주일
어닝스","1달
어닝스","3개월 
어닝스","6개월 
어닝스","9개월 
어닝스","12개월 
어닝스","어닝스
점수","ROE성장율
(최근분기)","자산증가율
(최근분기)","자본증가율
(최근분기)","자본증가율
(1년후)","매출채권
회수기간","재고자산
회수기간","단순 FCFF
(잉여현금흐름)","F스코어
지배주주순익>0
여부","F스코어
영업활동현금흐름>0
여부","F스코어
ROA증가
여부","F스코어
영현>순익
여부","F스코어
부채비율감소
여부","F스코어
유동비율증가
여부","F스코어
신주발행X
여부","F스코어
매출총이익율증가
여부","F스코어
총자산회전율증가
여부","F스코어
점수 (9점만점)","16년->19년
3년간 YOY","17년
YOY","18년
YOY","19년
YOY","20년(E) 
YOY","21년(E) 
YOY",19년2Q YOY,19년3Q YOY,19년4Q YOY,20년1Q YOY,20년2Q(E) YOY,20년3Q(E) YOY,19년2Q QOQ,19년3Q QOQ,19년4Q QOQ,20년1Q QOQ,20년2Q(E) QOQ,20년3Q(E) QOQ,"16년->19년
3년간 YOY","17년
YOY","18년
YOY","19년
YOY","20년(E) 
YOY","21년(E) 
YOY",19년2Q YOY,19년3Q YOY,19년4Q YOY,20년1Q YOY,20년2Q(E) YOY,20년3Q(E) YOY,19년2Q QOQ,19년3Q QOQ,19년4Q QOQ,20년1Q QOQ,20년2Q(E) QOQ,20년3Q(E) QOQ,"16년->19년
3년간 YOY","17년
YOY","18년
YOY","19년
YOY","20년(E) 
YOY","21년(E) 
YOY",19년2Q YOY,19년3Q YOY,19년4Q YOY,20년1Q YOY,20년2Q(E) YOY,20년3Q(E) YOY,19년2Q QOQ,19년3Q QOQ,19년4Q QOQ,20년1Q QOQ,20년2Q(E) QOQ,20년3Q(E) QOQ,"16년
매출액","16년
영업이익","16년
순이익","17년
매출액","17년
영업이익","17년
순이익","18년
매출액","18년
영업이익","18년
순이익","19년
매출액","19년
영업이익","19년
순이익","20년(E)
매출액","20년(E)
영업이익","20년(E)
순이익","21년(E)
매출액","21년(E)
영업이익","21년(E)
순이익",18년 2Q,18년 3Q,18년 4Q,19년 1Q,19년 2Q,19년 3Q,19년 4Q,20년 1Q,20년 2Q(E),20년 3Q(E),18년 2Q,18년 3Q,18년 4Q,19년 1Q,19년 2Q,19년 3Q,19년 4Q,20년 1Q,20년 2Q(E),20년 3Q(E),18년 2Q,18년 3Q,18년 4Q,19년 1Q,19년 2Q,19년 3Q,19년 4Q,20년 1Q,20년 2Q(E),20년 3Q(E),"20년2Q 
매출액","20년2Q 
영업이익","20년2Q 
순이익","20년2Q 
매출액","20년2Q 
영업이익","20년2Q 
순이익",GP/A,EV/EBIT
2,2,A058850,KTcs,IT서비스,컨택센터,코스피,1785,762,4269,87,2,0,-0.3,1.7,-3.8,25.7,-21,-12.7,-21.4,-29,272,100,1.2,1.4,0,6.3,5,5,2.4,2.4,2.81,3.15,0.08,0.08,0,4.63,1.3,0.41,0.73,0.48,0.48,11.6,9.45,9.65,9.65,8.66,0,0,0,6.1,6.1,76.4,174,192.9286680766326,107,110,1,45,4.5,-12.540192926045016,5.24,0,5.625,0.02434,0.88268,1739,1575,2321,223,194,0,3314,9013,125,79,321,9013,271,-123,-182,29,80,2.43,2.89661353,19.72986778,-16.108932902761108,-87.6836478221954,1855,1420,2260,2045,2270,2330,1195,1,0,1,0,77,49,-0.01,-0.03,-0.03,-0.04,-0.06,-0.1,-0.35,-1.23,-1.58,-0.41,0.61,0.2,-0.91,-2,-2.91,37,117,0.7446144741812382,82,0,309,362,1,0,0,0,2165,0,,,,0,20200508,,,,0,0,0,0,0,0,0,0,0,0,-25.4,-8.9,2.1,0,53,1000,242,1,1,0,1,1,1,1,0,0,6,-0.9,1.5,5,-7,-100,0,-8.9,2,-21.4,-18.8,0,0,-0.7,1.7,7.5,-25.2,0,0,28.4,14.8,23.8,-9.6,-100,0,10.6,73.7,-83.3,52.2,0,0,126.1,-36.5,-84.8,600,0,0,-2.6,-6.6,59.2,-34.5,-100,0,-18.4,66.7,-134.8,29.4,0,0,135.3,-37.5,-132,375,0,0,9537,88,76,9678,101,71,10161,125,113,9449,113,74,0,0,0,0,0,0,2519,2289,3192,2311,2295,2334,2508,1876,,,47,19,30,23,52,33,5,35,,,49,15,23,17,40,25,-8,22,,,,,,,,,272,20.008
3,3,A049720,고려신용정보,일반서비스,신용정보,코스닥,5500,787,1430,40,2.8,0,-0.4,-1.4,-9.4,23.7,11.3,7.4,9.3,83.3,252.2,100,6.3,6.7,0,25.6,33.8,33.8,14.2,14.2,24.82,60.54,0.64,0.64,0,44.04,4.48,0.83,3.1,3.86,3.86,12,11.09,11.41,11.41,10.93,0,0,6.3,9.6,9.6,-14,91,91.09833242060058,137,138,58,52.5,4.5,113.5678391959799,10.95,4.69,5.625,0.01965,0.44242,281,204,171,0,199,0,485,1223,82,69,131,1224,32,-42,-5,19,250,2.76882,3.23723286,6.41719742,-14.469544832187339,-56.85312732672637,6070,4445,4940,5120,5030,6470,3965,0,0,0,1,85,39,-0.09,-0.04,-0.12,-0.08,-0.16,-0.24,-1.85,-0.28,-2.13,-2.52,0.7,-1.82,-2.28,0.38,-1.9,86,465,0.17705773751600004,97,0,396,362,1,0,0,0,5658,0,,,,20170904,20200515,,,,0,0,0,0,0,0,0,0,0,0,8.3,37.7,18,0,18,0,13,1,1,0,0,0,0,1,0,0,3,37.2,3.4,17.9,12.6,-100,0,9.3,17.1,16.1,23,0,0,9.3,7.5,7.3,-2.5,0,0,50,-7.4,46,11,-100,0,17.6,-19,12,6.3,0,0,25,-15,64.7,-39.3,0,0,78.4,-2.7,30.6,40.4,-100,0,30.8,16.7,42.9,20,0,0,13.3,-17.6,42.9,-10,0,0,849,54,37,878,50,36,1035,73,47,1165,81,66,0,0,0,0,0,0,257,258,279,257,281,302,324,316,,,17,21,25,16,20,17,28,17,,,13,12,14,15,17,14,20,18,,,,,,,,,252.2,13.024390243902438
4,4,A036120,SCI평가정보,일반서비스,신용정보,코스닥,3455,1227,3550,91,2.6,0,1.6,10.4,-0.6,125.8,36,54.2,0.6,184.4,176.8,100,3.9,15.9,18.7,7.6,29,30.232558139534884,20.2,23.2,12.74,14.61,2.3,2.3,0.27,117.44,13.78,1.04,4.69,5.84,4.076411960132891,52.7,19.59,20.11,20.11,18.04,15.15,13.48,9.42,14.44,14.44,13.3,303,303.18953007941377,39,44,5,48.9,2,0,3.45,0,2.5,0.04717,1.15202,92,210,255,0,40,1,302,534,85,61,112,534,96,-16,-12,12,69,57.88555,33.85739195,19.10599408,70.96872105649591,202.97062669245844,3475,1530,2540,2240,3435,3645,1245,1,1,1,1,95,178,0.29,0.02,0.31,0.33,0.05,0.39,0.34,1.72,2.06,0.33,1.37,1.7000000000000002,0.26,1.73,1.99,42,562,1.1278766479589348,172,0,701,362,1,0,0,0,2013,0,,,,20200602,20200429,,,,0,0,0,1.1,0,0,0,0,49.2,40,150,29.9,21.2,43.3,36,0,84,1,1,1,1,0,0,1,0,0,5,49,21.2,16.6,5.4,7.8,7.8,6.8,7.4,6.3,6.6,0,0,29.8,-17.2,-9.2,9.3,0,0,3350,-100,0,430.8,53.6,24.5,175,0,100,214.3,0,0,528.6,-56.8,-100,0,0,0,1325,75,1600,226.7,65.3,24.7,190.9,850,-160,183.3,0,0,433.3,-53.1,-120,666.7,0,0,353,2,-4,428,0,-1,499,13,15,526,69,49,567,106,81,611,132,101,147,121,111,121,157,130,118,129,,,16,0,-4,7,44,19,0,22,,,11,-2,5,6,32,15,-3,17,,,,,,,,,176.8,15.51764705882353
5,5,A008770,호텔신라,유통,면세점,코스피,69900,27434,3925,214,5.5,0,0.6,-3.3,-14.2,-1.4,-23,-16.5,-26,25,160.3,100,3.2,2.8,-0.2,8,5.3,7.236258865248227,1.3,1.9,-10.81,-8.67,0.52,0.52,0.88,203.59,6.54,1.77,4.32,3.28,3.0401152482269502,51,58.65,62.07,62.07,-9.32,-50.52,42.01,13.78,18.61,18.61,-36.9,30,111.52271589003122,296,296,209,7.8,0.5,12.264150943396231,1.46,0.34,0.625,0.02756,1.10416,24813,8371,14700,10793,11245,474,33184,53179,1474,442,3119,53178,-2539,-914,1434,625,350,236.61,361.1059908,506.7421084,-34.47630168754319,-53.30761030555005,81500,70900,90800,83700,94400,108500,61800,0,0,0,0,64,13,-0.05,-0.16,-0.21,-0.88,-1.63,-2.51,-4.21,-2.27,-6.48,-7.3,-2.33,-9.629999999999999,-7.46,-6.41,-13.870000000000001,50,185,2.0960108153291506,527,70,1074,81,1,0,0,0,13264,99882,,,,20200622,20200424,,,,0.4,-267,-190.9,-7.8,33.5,-66.2,-67.1,-67.5,47.7,40,-67.3,-10.2,4,7.8,7,0,-3164,1,0,0,0,1,1,1,0,1,5,53.9,-5.4,34.1,21.3,-19.5,35.8,15.3,20.9,29.4,-29.7,-35.4,-18,0.9,8.9,4.7,-38.9,-7.2,38.2,274.6,-7.5,186,41.5,-103.4,3102,14,-15.6,182.2,-181.8,-108.1,-60.5,-3.1,-27.5,35.2,-186.1,90.4,454.7,510.4,-9,336,53.9,-132,456.7,-1,-41.3,279.2,-241.8,-129.9,-123.5,0.4,-46.8,37.2,-293.7,78.8,58.3,37153,790,278,35147,731,253,47137,2091,1103,57173,2959,1697,46019,-101,-543,62509,3032,1937,11749,12204,11928,13432,13549,14753,15440,9437,8756,12104,695,680,275,817,792,574,776,-668,-64,227,526,472,-212,519,521,277,380,-736,-156,-65,,,,8756,-64,-156,160.3,35.44572591587517
6,6,A139670,키네마스터,IT서비스,소프트웨어,코스닥,13800,1869,1355,49,3.6,0.2,1.1,9.1,47.4,104.4,104.6,125.4,103.8,470,147.7,99.8,-25.2,6.4,0,-19,8.4,8.4,7.4,7.4,139.91,155.75,8.53,8.53,0,2424.62,14.27,1.46,3.15,14.27,14.27,-16.9,163.79,169.91,169.91,93.45,0,0,82.57,133.5,133.5,6.5,1460,1460.563309537956,13,13,3,0,0,-100,1.35,0,0,0.05387,1.04792,17,131,139,0,5,0,148,219,14,11,21,218,13,30,-5,1,,30.20663,60.4292472,50.73045452,-50.01322803174023,-40.45661469859033,9360,6750,6746,6123,6772,14600,5270,1,1,1,1,95,162,0.04,0.05,0.08,1.03,-0.35,0.68,1.59,-0.22,1.37,3.02,-0.05,2.97,-0.11,-1.71,-1.82,100,977,-2.8150380454207844,1448,0,1192,362,1,0,0,0,953,0,1,,,20190514,20200423,,,,0,0,0,0,0,0,0,0,0,0,0,5.7,9,0,35,0,12,1,1,1,1,1,1,0,0,1,7,108.6,8.6,26.7,51.6,-100,0,126.3,44.7,51.3,67.6,0,0,16.2,27.9,7.3,5.1,0,0,106,32,8.8,109.7,-100,0,90.5,300,266.7,183.3,0,0,66.7,400,-16.7,0,0,0,101.9,18.9,27.9,103.2,-100,0,88.9,275,120,183.3,0,0,66.7,450,-85.7,400,0,0,93,-50,-53,101,-34,-43,128,-31,-31,194,3,1,0,0,0,0,0,0,19,38,39,37,43,55,59,62,,,-21,-3,-3,-6,-2,6,5,5,,,-18,-4,-5,-6,-2,7,1,5,,,,,,,,,147.7,134.71428571428572
7,7,A058860,KTis,통신,통신서비스,코스피,2095,729,3480,98,2.8,0,-0.7,4,-0.5,47,-8.9,-6.1,-14.1,-40.3,142,100.2,2.4,3.3,0,6.5,4.9,4.9,2.6,2.6,1.93,2.16,0.16,0.16,0,3.78,1.58,0.31,0.75,0.43,0.43,11.4,8.54,8.78,8.78,3.57,0,0,2.06,4.86,4.86,-13.4,155,172.51,87,87,46,33.1,4.3,-1.2903225806451568,3.91,0,5.374999999999999,0.02038,0.917,1479,1696,1381,138,1269,192,3175,4500,150,83,363,4510,377,-179,-217,39,90,0.93,2.10756957,2.59394209,-55.87334277178806,-64.14723352594197,2105,1425,2300,2230,2440,2445,1240,1,1,1,1,86,69,0,0,0,0.02,-0.09,-0.07,-0.05,-0.06,-0.11,-0.18,-1,-1.18,-0.5,-1.8,-2.3,27,139,1.2098947832197007,75,0,274,362,1,0,0,0,2802,0,,,,0,20200508,,,,0,0,0,0,0,0,0,0,0,0,-10.9,-2.7,3.7,0,38,0,338,1,1,0,1,1,0,1,1,1,7,3.3,0.3,2.9,0,-100,0,5,2,-8.7,-0.9,0,0,5.2,-3.2,-6.7,4.3,0,0,4.5,-15.9,-18.9,53.3,-100,0,28.6,-3.4,215.4,22.6,0,0,-49.1,3.7,7.1,116.7,0,0,-8,-17,-4.8,16.5,-100,0,50,-15.4,-16.7,-15,0,0,-60,-8.3,-163.6,464.3,0,0,4367,132,100,4381,111,83,4508,90,79,4510,138,92,0,0,0,0,0,0,1124,1120,1168,1122,1180,1142,1066,1112,,,21,29,-26,53,27,28,30,65,,,16,26,-12,60,24,22,-14,51,,,,,,,,,142,14.72
8,8,A067000,조이시티,미디어 및 엔터,게임,코스닥,16500,2341,1419,85,6,20.5,1.2,5.1,23.1,57.1,104.5,97.6,144.8,-2.4,136.6,100,3.4,12.5,16.5,-17.1,9.3,28.279883381924197,5.9,19.8,42.01,43.35,2.18,2.18,0.04,242.24,7.33,1.33,4.84,4.76,3.412536443148688,-42.2,47.84,50.89,50.89,10.27,12.07,12.07,12.94,17.47,17.47,8.5,203,202.70379853721673,61,60,28,0,0,-100,2.52,0,0,0.04666,1.11669,294,492,493,0,261,37,786,1074,134,46,169,1074,56,-173,85,2,,27.44681,33.7394879,34.48917728,-18.65078070731477,-20.41906428450473,13400,10500,8070,8350,6740,16500,6090,1,1,1,1,100,171,-0.32,0.11,-0.21,-0.16,0.2,0.04,1.43,0.53,1.96,0.18,1.83,2.0100000000000002,-2.63,2.11,-0.52,65,358,-10.287179046519197,436,0,1019,362,1,0,0,0,3784,0,1,1,,20200522,20200420,,,,16.3,100,338.5,0,5.4,0,2671.4,345.6,321.7,80,0,22.9,84.5,39.4,38,0,54,1,1,1,1,1,1,0,1,1,8,42.2,27.2,-5.4,18.2,28.2,2.6,19.4,35.2,25.9,16.7,32.9,20.4,2.8,2.7,-2.6,13.6,17.1,-7,174.2,-187.1,-100,257.4,156.5,11,152.9,290.9,250,4900,488.9,21.4,800,366.7,-21.4,51.5,6,-3.8,75.5,-117,32.2,83.3,1592.3,0,-3450,177.1,161.3,2950,167.2,16.2,-3250,155.2,-48.6,200,-21.1,-4.4,725,31,-53,922,-27,-115,872,-54,-78,1031,85,-13,1322,218,194,1357,242,194,216,196,205,251,258,265,258,293,343,319,-17,-22,-22,1,9,42,33,50,53,51,2,-48,-31,-2,-67,37,19,57,45,43,,,,343,53,45,136.6,19.66417910447761
9,9,A067920,이글루시큐리티,IT서비스,보안서비스,코스닥,4580,504,1100,181,16.5,0,-0.1,-1.4,-4,17.6,4.7,0.8,-1.9,-22.4,134.7,100,1.2,2.7,0,4.7,5.6,5.6,4.7,4.7,10.81,11.2,0.65,0.65,0,19.6,3.78,0.91,1.19,1.05,1.05,20.8,15.59,18.67,18.67,4.67,0,0,3.04,24,24,69.8,652,653.6572993165979,20,20,5,66.2,3.1,136.4254067907735,3.2,0,3.875,0.01876,0.46506,95,481,447,1,67,7,576,776,21,27,39,776,47,-35,-37,2,140,0.88403,1.13682809,2.5484385,-22.2371431726322,-65.31091489945705,4770,3895,4375,4545,4670,4995,3360,0,0,1,1,92,36,0.01,-0.04,-0.03,0.03,-0.01,0.02,-0.05,0.19,0.14,-0.09,-0.1,-0.19,2.52,-0.02,2.5,28,115,3.1975312897931665,204,0,766,362,1,0,0,0,2240,0,,,,20190313,20200511,,,,0,0,0,0,0,0,0,0,0,0,-60.6,1.1,-0.9,0,14,0,45,1,1,0,1,0,1,1,1,1,7,30.1,3.4,7.7,16.8,-100,0,34.3,10.7,27.3,10.6,0,0,-4.8,-25,86.7,-17.1,0,0,-39.3,10.7,-3.2,-43.3,-100,0,64.3,-21.7,7.4,13.6,0,0,-122.7,-460,203.6,-13.8,0,0,-40,20,107.1,-75.9,-100,0,85,-23.8,-67.4,28.6,0,0,-114.3,-766.7,211.5,-6.9,0,0,581,28,35,601,31,42,647,30,87,756,17,21,0,0,0,0,0,0,134,122,198,189,180,135,252,209,,,-14,-23,27,22,-5,-28,29,25,,,-20,-21,89,21,-3,-26,29,27,,,,,,,,,134.7,28.523809523809526
10,10,A119860,다나와,유통,전자상거래,코스닥,29250,3824,1307,12,0.9,0,-0.5,9.1,6.2,29.1,22.6,26.1,12.9,201.9,131.6,100,15.8,17.6,22.9,16.1,21.5,19.03735632183908,18.3,16.7,14.18,14.32,2.19,2.19,1.52,53.56,3.41,0.91,2.12,3.39,2.7471264367816093,13.4,15.66,15.8,15.8,13.66,15.48,14.43,9.15,12.5,12.5,21.1,546,584.9713645854815,17,17,3,22,1.4,162.82224713021287,3.29,0,1.7499999999999998,0.03126,0.80253,197,1127,1002,67,180,1,1324,1743,306,242,338,1742,270,-165,-62,3,400,62.41667,83.6602712,51.82072968,-25.392699420271537,20.447300502002513,27550,22650,23850,23200,25900,32200,17800,1,1,1,1,91,64,0.09,-0.1,-0.01,1.31,-0.1,1.2,1.71,-0.6,1.1099999999999999,-2.67,3.34,0.6699999999999999,-0.45,3.86,3.4099999999999997,99,373,0.24398543001233322,134,73,558,116,1,0,0,0,21754,40000,,,,20200616,20200514,,,,17.7,15.7,1.4,0.8,-4.3,6.4,12.3,13.2,9.5,60,10.8,15.6,21.7,23.5,18,1000,267,1,1,1,1,1,1,1,0,1,8,159.3,67.1,-1.2,57.1,-17.5,10.4,10.1,6.2,160.6,30.8,9.6,-4.1,6.8,17.2,205.1,-65.8,-10.5,2.6,235.3,78.8,32.9,41.1,10.9,15.8,24.5,30.4,67.9,28,23,11.7,-18.7,-1.6,48.3,7.9,-21.9,-10.7,165.2,51.7,21.5,43.9,4.7,15,44.7,29.3,73,9.4,20,13.2,-14.1,-3.6,20.8,9.4,-5.7,-9.1,644,85,89,1076,152,135,1063,202,164,1670,285,236,1377,316,247,1520,366,284,227,276,343,234,250,293,894,306,274,281,49,46,53,75,61,60,89,96,75,67,38,41,37,64,55,53,64,70,66,60,,,,274,75,66,131.6,13.140522875816993
11,11,A002150,도화엔지니어링,건설 및 건축자재,중견건설사,코스피,8250,2782,3372,42,1.2,0,4.3,4.3,-7,35.7,-7.6,-25,-26.7,63.4,129.1,100,3.2,5.7,6.2,3.3,8.9,10.794442465265409,5.3,6.7,5.19,5.74,0.51,0.51,0.26,13.79,1.71,0.59,0.91,1.11,0.9910936943355896,26.5,12.27,12.42,12.42,8.92,9.97,9.18,5.92,9,9,6.6,121,120.77431903572123,69,69,2,48.2,3,83.982683982684,4.45,0,3.75,0.03205,1.17045,1727,2504,1912,0,584,23,4231,5461,309,224,350,5461,536,-107,-199,51,250,12.75,8.69715632,10.84907759,46.599641663103974,17.521511798866207,8870,6080,8930,11000,11250,11750,5050,1,0,0,1,70,63,0,0,0,0,-0.11,-0.11,-0.04,0.01,-0.03,0.56,-0.15,0.41000000000000003,0.8,-0.96,-0.15999999999999992,65,188,0.9136171267041454,106,0,433,362,1,0,0,0,7755,0,,,,20200518,20200515,,,,17.1,31.4,90.2,0.3,-4.7,12.2,8.6,-1.3,35.3,60,53.4,12.5,2.5,12.1,67,0,485,1,1,1,1,0,0,1,0,1,6,58.9,22.9,0.9,28.2,12.7,14.3,51.8,18.9,32.8,29.3,-4.3,24.4,50.2,-32.2,49.2,-14.9,11.2,-11.8,81.9,10.7,4.8,56.6,32.5,25.1,127.1,142.9,34.9,131,-13.8,258.8,275.9,-84.4,582.4,-42.2,40.3,-35.1,1238.5,800,17.9,26.1,60.3,17.9,87,-660,37.5,188.9,-30.2,264.3,218.5,-132.6,414.3,-11.4,-23.1,-23.3,3247,149,13,3990,165,117,4025,173,138,5161,271,174,5819,359,279,6649,449,329,1013,877,1172,1024,1538,1043,1556,1324,1472,1298,48,7,86,29,109,17,116,67,94,61,46,5,64,27,86,-28,88,78,60,46,,,,1472,94,60,129.1,14.592233009708737
